Sat May 31 12:36:27 2025    mdetector_profile.prof

         50447367 function calls (50277928 primitive calls) in 55949.437 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.001    0.000 55949.437 55949.437 {built-in method builtins.exec}
        1    0.029    0.029 55949.436 55949.436 <string>:1(<module>)
        1    2.852    2.852 55949.406 55949.406 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:397(main)
      117    0.006    0.000 55670.644  475.817 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:850(next)
      118    0.003    0.000 55670.638  471.785 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/threading.py:280(wait)
      475 55670.635  117.201 55670.635  117.201 {method 'acquire' of '_thread.lock' objects}
      116    0.076    0.001  181.334    1.563 /home/drugge/Unsupervised-Moving-Point-Detection/m_detector_python/scripts/run_mdetector_and_save.py:356(save_single_result)
      116    0.002    0.000  162.242    1.399 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/files.py:645(__exit__)
      116  162.240    1.399  162.240    1.399 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/files.py:620(close)
      116    0.010    0.000   85.537    0.737 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:41(__init__)
     1508    0.009    0.000   65.361    0.043 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:135(__load_table__)
     1508    0.181    0.000   65.272    0.043 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/json/__init__.py:274(load)
     1508    0.005    0.000   62.103    0.041 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/json/__init__.py:299(loads)
     1508    0.008    0.000   62.097    0.041 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/json/decoder.py:332(decode)
     1508   62.081    0.041   62.081    0.041 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/json/decoder.py:343(raw_decode)
      116   10.060    0.087   20.153    0.174 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:141(__make_reverse_index__)
      696    0.041    0.000   17.274    0.025 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/group.py:67(create_dataset)
      696   17.136    0.025   17.186    0.025 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/dataset.py:36(make_new_dset)
 14253384    6.207    0.000    9.933    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:198(get)
       57    0.001    0.000    4.732    0.083 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/util.py:205(__call__)
        1    0.000    0.000    4.732    4.732 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:735(__exit__)
        1    0.000    0.000    4.732    4.732 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:651(terminate)
        1    0.017    0.017    4.731    4.731 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:677(_terminate_pool)
     1655    0.001    0.000    4.666    0.003 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:24(poll)
     1655    4.665    0.003    4.665    0.003 {built-in method posix.waitpid}
        3    0.000    0.000    4.661    1.554 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:142(join)
        3    0.000    0.000    4.661    1.554 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:36(wait)
     1516    1.426    0.001    2.988    0.002 {method 'read' of '_io.TextIOWrapper' objects}
 14253384    2.636    0.000    2.636    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/nuscenes/nuscenes.py:209(getind)
      116    0.001    0.000    2.166    0.019 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/__init__.py:248(dump)
      116    0.004    0.000    2.166    0.019 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/__init__.py:215(dump_all)
      116    0.001    0.000    2.154    0.019 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:26(represent)
      116    0.001    0.000    1.962    0.017 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:46(serialize)
39324/116    0.165    0.000    1.923    0.017 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/serializer.py:78(serialize_node)
    43500    0.078    0.000    1.624    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:111(emit)
     1516    0.005    0.000    1.562    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/codecs.py:319(decode)
     1516    1.557    0.001    1.557    0.001 {built-in method _codecs.utf_8_decode}
      116    0.020    0.000    1.510    0.013 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/files.py:379(__init__)
      116    1.392    0.012    1.411    0.012 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/files.py:218(make_fid)
 14255767    1.092    0.000    1.092    0.000 {built-in method builtins.getattr}
    22620    0.041    0.000    0.985    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:395(expect_block_mapping_key)
    39324    0.077    0.000    0.744    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:232(expect_node)
        1    0.000    0.000    0.724    0.724 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/context.py:115(Pool)
        1    0.000    0.000    0.724    0.724 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:183(__init__)
        1    0.000    0.000    0.722    0.722 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:302(_repopulate_pool)
        1    0.003    0.003    0.722    0.722 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/pool.py:311(_repopulate_pool_static)
       56    0.003    0.000    0.712    0.013 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/process.py:110(start)
       56    0.003    0.000    0.704    0.013 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/context.py:274(_Popen)
       56    0.002    0.000    0.699    0.012 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:15(__init__)
       56    0.004    0.000    0.696    0.012 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/multiprocessing/popen_fork.py:62(_launch)
       56    0.687    0.012    0.688    0.012 {built-in method posix.fork}
     1626    0.567    0.000    0.578    0.000 {built-in method io.open}
    19256    0.066    0.000    0.534    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:437(check_simple_key)
    35612    0.367    0.000    0.455    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:626(analyze_scalar)
  117/116    0.001    0.000    0.453    0.004 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/os.py:200(makedirs)
    35612    0.047    0.000    0.419    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:266(expect_scalar)
    19256    0.024    0.000    0.417    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:409(expect_block_mapping_simple_value)
      117    0.345    0.003    0.345    0.003 {built-in method posix.mkdir}
    35612    0.039    0.000    0.338    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:515(process_scalar)
    35612    0.232    0.000    0.299    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:1080(write_plain)
    39324    0.040    0.000    0.216    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:469(process_tag)
      350    0.002    0.000    0.204    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1325(refresh)
      352    0.002    0.000    0.200    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1464(display)
39324/116    0.036    0.000    0.192    0.002 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:33(represent_data)
 3364/116    0.002    0.000    0.191    0.002 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:206(represent_dict)
 3364/116    0.037    0.000    0.191    0.002 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/representer.py:103(represent_mapping)
  2323660    0.183    0.000    0.183    0.000 {method 'append' of 'list' objects}
    35612    0.038    0.000    0.172    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:494(choose_scalar_style)
     3364    0.002    0.000    0.169    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:392(expect_first_block_mapping_key)
     1627    0.163    0.000    0.163    0.000 {method '__exit__' of '_io._IOBase' objects}
      122    0.004    0.000    0.152    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:716(write)
  436/434    0.000    0.000    0.143    0.000 {built-in method builtins.next}
      244    0.007    0.000    0.142    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:725(external_write_mode)
      352    0.020    0.000    0.140    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1150(__str__)
  2123864    0.137    0.000    0.137    0.000 {built-in method builtins.len}
    19256    0.097    0.000    0.136    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:580(prepare_tag)
      929    0.001    0.000    0.113    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/genericpath.py:16(exists)
      940    0.112    0.000    0.112    0.000 {built-in method posix.stat}
      352    0.024    0.000    0.111    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:464(format_meter)
      232    0.005    0.000    0.108    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:1198(update)
      122    0.001    0.000    0.106    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/contextlib.py:123(__exit__)
     1172    0.002    0.000    0.104    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:378(disp_len)
    75620    0.064    0.000    0.102    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/resolver.py:143(resolve)
     1172    0.003    0.000    0.100    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:374(_text_width)
     1172    0.021    0.000    0.096    0.000 {built-in method builtins.sum}
      253    0.003    0.000    0.094    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1436(info)
    87000    0.043    0.000    0.090    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/emitter.py:120(need_more_events)
      253    0.004    0.000    0.089    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/logging/__init__.py:1565(_log)
   785908    0.084    0.000    0.084    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.078    0.039 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/__init__.py:117(safe_load)
        2    0.000    0.000    0.078    0.039 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/__init__.py:74(load)
        2    0.000    0.000    0.078    0.039 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/constructor.py:47(get_single_data)
   153368    0.052    0.000    0.075    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/utils.py:375(<genexpr>)
        2    0.000    0.000    0.075    0.037 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:29(get_single_node)
        2    0.000    0.000    0.074    0.037 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:50(compose_document)
    690/2    0.002    0.000    0.074    0.037 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:63(compose_node)
     58/2    0.001    0.000    0.074    0.037 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/composer.py:117(compose_mapping_node)
      116    0.073    0.001    0.073    0.001 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/h5py/_hl/files.py:112(make_fapl)
      468    0.004    0.000    0.070    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/tqdm/std.py:457(print_status)
     1914    0.001    0.000    0.068    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/parser.py:94(check_event)
40368/232    0.031    0.000    0.064    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/copy.py:128(deepcopy)
 3828/232    0.015    0.000    0.063    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/copy.py:226(_deepcopy_dict)
     5176    0.004    0.000    0.057    0.000 /home/drugge/miniconda3/envs/mdet_env_py/lib/python3.9/site-packages/yaml/scanner.py:113(check_token)
